"sample.names";"species";"type";"kit";"preparation";"n_elution";"group";"num";"DNAconcentration";"sequenced";"exp"
"exp1_QuickDNA-eau-1elu-13";"BCC";"sample";"QuickDNA";"water";"1";"QD_water_1";"13";122;TRUE;"1"
"exp1_QuickDNA-eau-1elu-14";"BCC";"sample";"QuickDNA";"water";"1";"QD_water_1";"14";162;FALSE;"1"
"exp1_QuickDNA-eau-1elu-15";"BCC";"sample";"QuickDNA";"water";"1";"QD_water_1";"15";41,8;FALSE;"1"
"exp1_QuickDNA-eau-1elu-B";"BCC";"ctrl";"QuickDNA";"water";"1";"QD_water_1";"negative";5;FALSE;"1"
"exp1_QuickDNA-PBS-1elu-1";"BCC";"sample";"QuickDNA";"PBS";"1";"QD_PBS_1";"1";193;FALSE;"1"
"exp1_QuickDNA-PBS-1elu-2";"BCC";"sample";"QuickDNA";"PBS";"1";"QD_PBS_1";"2";91,8;FALSE;"1"
"exp1_QuickDNA-PBS-1elu-3";"BCC";"sample";"QuickDNA";"PBS";"1";"QD_PBS_1";"3";115;FALSE;"1"
"exp1_QuickDNA-PBS-1elu-4";"BCC";"sample";"QuickDNA";"PBS";"1";"QD_PBS_1";"4";15;FALSE;"1"
"exp1_QuickDNA-PBS-1elu-5";"BCC";"sample";"QuickDNA";"PBS";"1";"QD_PBS_1";"5";111;TRUE;"1"
"exp1_QuickDNA-PBS-1elu-6";"BCC";"sample";"QuickDNA";"PBS";"1";"QD_PBS_1";"6";115;TRUE;"1"
"exp1_QuickDNA-PBS-1elu-7";"BCC";"sample";"QuickDNA";"PBS";"1";"QD_PBS_1";"7";147;TRUE;"1"
"exp1_QuickDNA-PBS-1elu-8";"BCC";"sample";"QuickDNA";"PBS";"1";"QD_PBS_1";"8";33,6;FALSE;"1"
"exp1_QuickDNA-PBS-1elu-9";"BCC";"sample";"QuickDNA";"PBS";"1";"QD_PBS_1";"9";85,8;TRUE;"1"
"exp1_QuickDNA-PBS-1elu-10";"BCC";"sample";"QuickDNA";"PBS";"1";"QD_PBS_1";"10";40;FALSE;"1"
"exp1_QuickDNA-PBS-1elu-11";"BCC";"sample";"QuickDNA";"PBS";"1";"QD_PBS_1";"11";228;FALSE;"1"
"exp1_QuickDNA-PBS-1elu-12";"BCC";"sample";"QuickDNA";"PBS";"1";"QD_PBS_1";"12";62,2;TRUE;"1"
"exp1_QuickDNA-PBS-1elu-13";"BCC";"sample";"QuickDNA";"PBS";"1";"QD_PBS_1";"13";127;FALSE;"1"
"exp1_QuickDNA-PBS-1elu-14";"BCC";"sample";"QuickDNA";"PBS";"1";"QD_PBS_1";"14";472;FALSE;"1"
"exp1_QuickDNA-PBS-1elu-15";"BCC";"sample";"QuickDNA";"PBS";"1";"QD_PBS_1";"15";5;FALSE;"1"
"exp1_QuickDNA-PBS-1elu-B";"BCC";"ctrl";"QuickDNA";"PBS";"1";"QD_PBS_1";"negative";5;TRUE;"1"
"exp1_PureLink-eau-1elu-1";"BCC";"sample";"PureLink";"water";"1";"PL_water_1";"1";346;FALSE;"1"
"exp1_PureLink-eau-1elu-2";"BCC";"sample";"PureLink";"water";"1";"PL_water_1";"2";246;FALSE;"1"
"exp1_PureLink-eau-1elu-3";"BCC";"sample";"PureLink";"water";"1";"PL_water_1";"3";1400;TRUE;"1"
"exp1_PureLink-eau-1elu-4";"BCC";"sample";"PureLink";"water";"1";"PL_water_1";"4";612;TRUE;"1"
"exp1_PureLink-eau-1elu-5";"BCC";"sample";"PureLink";"water";"1";"PL_water_1";"5";5;TRUE;"1"
"exp1_PureLink-eau-1elu-6";"BCC";"sample";"PureLink";"water";"1";"PL_water_1";"6";328;FALSE;"1"
"exp1_PureLink-eau-1elu-7";"BCC";"sample";"PureLink";"water";"1";"PL_water_1";"7";5;TRUE;"1"
"exp1_PureLink-eau-1elu-8";"BCC";"sample";"PureLink";"water";"1";"PL_water_1";"8";680;FALSE;"1"
"exp1_PureLink-eau-1elu-9";"BCC";"sample";"PureLink";"water";"1";"PL_water_1";"9";278;FALSE;"1"
"exp1_PureLink-eau-1elu-10";"BCC";"sample";"PureLink";"water";"1";"PL_water_1";"10";696;FALSE;"1"
"exp1_PureLink-eau-1elu-11";"BCC";"sample";"PureLink";"water";"1";"PL_water_1";"11";166;FALSE;"1"
"exp1_PureLink-eau-1elu-12";"BCC";"sample";"PureLink";"water";"1";"PL_water_1";"12";252;FALSE;"1"
"exp1_PureLink-eau-1elu-13";"BCC";"sample";"PureLink";"water";"1";"PL_water_1";"13";110;TRUE;"1"
"exp1_PureLink-eau-1elu-14";"BCC";"sample";"PureLink";"water";"1";"PL_water_1";"14";84,2;FALSE;"1"
"exp1_PureLink-eau-1elu-15";"BCC";"sample";"PureLink";"water";"1";"PL_water_1";"15";87,6;FALSE;"1"
"exp1_PureLink-eau-1elu-B";"BCC";"ctrl";"PureLink";"water";"1";"PL_water_1";"negative";19,2;FALSE;"1"
"exp1_PureLink-PBS-1elu-1";"BCC";"sample";"PureLink";"PBS";"1";"PL_PBS_1";"1";454;FALSE;"1"
"exp1_PureLink-PBS-1elu-2";"BCC";"sample";"PureLink";"PBS";"1";"PL_PBS_1";"2";260;TRUE;"1"
"exp1_PureLink-PBS-1elu-3";"BCC";"sample";"PureLink";"PBS";"1";"PL_PBS_1";"3";410;FALSE;"1"
"exp1_PureLink-PBS-1elu-4";"BCC";"sample";"PureLink";"PBS";"1";"PL_PBS_1";"4";368;FALSE;"1"
"exp1_PureLink-PBS-1elu-5";"BCC";"sample";"PureLink";"PBS";"1";"PL_PBS_1";"5";548;FALSE;"1"
"exp1_PureLink-PBS-1elu-6";"BCC";"sample";"PureLink";"PBS";"1";"PL_PBS_1";"6";354;FALSE;"1"
"exp1_PureLink-PBS-1elu-7";"BCC";"sample";"PureLink";"PBS";"1";"PL_PBS_1";"7";320;TRUE;"1"
"exp1_PureLink-PBS-1elu-8";"BCC";"sample";"PureLink";"PBS";"1";"PL_PBS_1";"8";210;TRUE;"1"
"exp1_PureLink-PBS-1elu-9";"BCC";"sample";"PureLink";"PBS";"1";"PL_PBS_1";"9";316;FALSE;"1"
"exp1_PureLink-PBS-1elu-10";"BCC";"sample";"PureLink";"PBS";"1";"PL_PBS_1";"10";154;FALSE;"1"
"exp1_PureLink-PBS-1elu-11";"BCC";"sample";"PureLink";"PBS";"1";"PL_PBS_1";"11";520;TRUE;"1"
"exp1_PureLink-PBS-1elu-12";"BCC";"sample";"PureLink";"PBS";"1";"PL_PBS_1";"12";304;TRUE;"1"
"exp1_PureLink-PBS-1elu-13";"BCC";"sample";"PureLink";"PBS";"1";"PL_PBS_1";"13";346;FALSE;"1"
"exp1_PureLink-PBS-1elu-14";"BCC";"sample";"PureLink";"PBS";"1";"PL_PBS_1";"14";136;FALSE;"1"
"exp1_PureLink-PBS-1elu-15";"BCC";"sample";"PureLink";"PBS";"1";"PL_PBS_1";"15";388;FALSE;"1"
"exp1_PureLink-PBS-1elu-B";"BCC";"ctrl";"PureLink";"PBS";"1";"PL_PBS_1";"negative";26,4;TRUE;"1"
"exp1_PureLink-eau-2elu-1";"BCC";"sample";"PureLink";"water";"2";"PL_water_2";"1";356;FALSE;"1"
"exp1_PureLink-eau-2elu-2";"BCC";"sample";"PureLink";"water";"2";"PL_water_2";"2";448;FALSE;"1"
"exp1_PureLink-eau-2elu-3";"BCC";"sample";"PureLink";"water";"2";"PL_water_2";"3";1340;TRUE;"1"
"exp1_PureLink-eau-2elu-4";"BCC";"sample";"PureLink";"water";"2";"PL_water_2";"4";664;TRUE;"1"
"exp1_PureLink-eau-2elu-5";"BCC";"sample";"PureLink";"water";"2";"PL_water_2";"5";200;TRUE;"1"
"exp1_PureLink-eau-2elu-6";"BCC";"sample";"PureLink";"water";"2";"PL_water_2";"6";342;FALSE;"1"
"exp1_PureLink-eau-2elu-7";"BCC";"sample";"PureLink";"water";"2";"PL_water_2";"7";5;TRUE;"1"
"exp1_PureLink-eau-2elu-8";"BCC";"sample";"PureLink";"water";"2";"PL_water_2";"8";818;FALSE;"1"
"exp1_PureLink-eau-2elu-9";"BCC";"sample";"PureLink";"water";"2";"PL_water_2";"9";290;FALSE;"1"
"exp1_PureLink-eau-2elu-10";"BCC";"sample";"PureLink";"water";"2";"PL_water_2";"10";730;FALSE;"1"
"exp1_PureLink-eau-2elu-11";"BCC";"sample";"PureLink";"water";"2";"PL_water_2";"11";188;FALSE;"1"
"exp1_PureLink-eau-2elu-12";"BCC";"sample";"PureLink";"water";"2";"PL_water_2";"12";262;FALSE;"1"
"exp1_PureLink-eau-2elu-13";"BCC";"sample";"PureLink";"water";"2";"PL_water_2";"13";94,4;TRUE;"1"
"exp1_PureLink-eau-2elu-14";"BCC";"sample";"PureLink";"water";"2";"PL_water_2";"14";93,2;FALSE;"1"
"exp1_PureLink-eau-2elu-15";"BCC";"sample";"PureLink";"water";"2";"PL_water_2";"15";99;FALSE;"1"
"exp1_PureLink-eau-2elu-B";"BCC";"ctrl";"PureLink";"water";"2";"PL_water_2";"negative";5;FALSE;"1"
"exp1_PureLink-PBS-2elu-1";"BCC";"sample";"PureLink";"PBS";"2";"PL_PBS_2";"1";304;FALSE;"1"
"exp1_PureLink-PBS-2elu-2";"BCC";"sample";"PureLink";"PBS";"2";"PL_PBS_2";"2";260;TRUE;"1"
"exp1_PureLink-PBS-2elu-3";"BCC";"sample";"PureLink";"PBS";"2";"PL_PBS_2";"3";288;FALSE;"1"
"exp1_PureLink-PBS-2elu-4";"BCC";"sample";"PureLink";"PBS";"2";"PL_PBS_2";"4";264;FALSE;"1"
"exp1_PureLink-PBS-2elu-5";"BCC";"sample";"PureLink";"PBS";"2";"PL_PBS_2";"5";438;FALSE;"1"
"exp1_PureLink-PBS-2elu-6";"BCC";"sample";"PureLink";"PBS";"2";"PL_PBS_2";"6";288;FALSE;"1"
"exp1_PureLink-PBS-2elu-7";"BCC";"sample";"PureLink";"PBS";"2";"PL_PBS_2";"7";270;TRUE;"1"
"exp1_PureLink-PBS-2elu-8";"BCC";"sample";"PureLink";"PBS";"2";"PL_PBS_2";"8";127;TRUE;"1"
"exp1_PureLink-PBS-2elu-9";"BCC";"sample";"PureLink";"PBS";"2";"PL_PBS_2";"9";334;FALSE;"1"
"exp1_PureLink-PBS-2elu-10";"BCC";"sample";"PureLink";"PBS";"2";"PL_PBS_2";"10";181;FALSE;"1"
"exp1_PureLink-PBS-2elu-11";"BCC";"sample";"PureLink";"PBS";"2";"PL_PBS_2";"11";1110;TRUE;"1"
"exp1_PureLink-PBS-2elu-12";"BCC";"sample";"PureLink";"PBS";"2";"PL_PBS_2";"12";326;TRUE;"1"
"exp1_PureLink-PBS-2elu-13";"BCC";"sample";"PureLink";"PBS";"2";"PL_PBS_2";"13";292;FALSE;"1"
"exp1_PureLink-PBS-2elu-14";"BCC";"sample";"PureLink";"PBS";"2";"PL_PBS_2";"14";128;FALSE;"1"
"exp1_PureLink-PBS-2elu-15";"BCC";"sample";"PureLink";"PBS";"2";"PL_PBS_2";"15";420;FALSE;"1"
"exp1_PureLink-PBS-2elu-B";"BCC";"ctrl";"PureLink";"PBS";"2";"PL_PBS_2";"negative";5;TRUE;"1"
"exp1_MAGMAX-eau-1elu-1";"BCC";"sample";"MagMAX";"water";"1";"MM_water_1";"1";212;FALSE;"1"
"exp1_MAGMAX-eau-1elu-2";"BCC";"sample";"MagMAX";"water";"1";"MM_water_1";"2";80,6;FALSE;"1"
"exp1_MAGMAX-eau-1elu-3";"BCC";"sample";"MagMAX";"water";"1";"MM_water_1";"3";118;TRUE;"1"
"exp1_MAGMAX-eau-1elu-4";"BCC";"sample";"MagMAX";"water";"1";"MM_water_1";"4";92,6;FALSE;"1"
"exp1_MAGMAX-eau-1elu-5";"BCC";"sample";"MagMAX";"water";"1";"MM_water_1";"5";145;TRUE;"1"
"exp1_MAGMAX-eau-1elu-6";"BCC";"sample";"MagMAX";"water";"1";"MM_water_1";"6";77,8;FALSE;"1"
